Order ID,Customer Name,Email,Phone,Address,City,State,Zip Code,Country,Product,Category,Quantity,Price per Unit,Total Price,Order Date
ORD-100018,Miss Brittney Moore,gwilliams@yahoo.com,782-948-5071x40465,1185 Barnett Rue Apt. 657,Michaelhaven,Delaware,43934,Saint Pierre and Miquelon,Non-fiction,Books,2,491.02 USD,982.04 USD,2025-04-29
ORD-100019,Charles Hunter,egray@hotmail.com,(564)537-0908,81531 Michael Prairie Apt. 803,West Victoria,Florida,94212,Norfolk Island,Smartphone,Electronics,1,194.68 USD,194.68 USD,2025-02-10
ORD-100020,Monica Benson,jonesmichelle@yahoo.com,8423257190,38288 Hernandez Drive Apt. 601,Abbottport,North Dakota,29363,Bangladesh,Fiction,Books,2,135.86 USD,271.72 USD,2025-02-19
ORD-100021,Brian Patterson,henglish@allen.info,9918913464,70274 Brittney Streets Apt. 671,New Linda,Alabama,3244,Tuvalu,Sneakers,Clothing,1,113.36 USD,113.36 USD,2025-04-05
ORD-100022,Elizabeth Nelson,brian41@gmail.com,7332294401,4119 Stephanie Turnpike,Adamville,Alabama,28550,Timor-Leste,Blender,Home,4,153.11 USD,612.44 USD,2025-01-10
ORD-100023,Micheal Thompson,gbartlett@carter.com,663.392.8456x411,2495 Sanchez Crescent Apt. 675,Berrybury,California,81450,Mexico,Non-fiction,Books,4,34.18 USD,136.72 USD,2025-04-24
ORD-100024,Ann French,taylorsuzanne@cantu.com,001-977-198-9868x384,4028 Karen Station,Tonybury,Oregon,18493,Benin,Headphones,Electronics,1,150.02 USD,150.02 USD,2025-02-03
ORD-100025,Mr. Anthony Williams II,jonespatrick@gmail.com,236.487.5236,8334 Seth Stravenue,East Elizabeth,Massachusetts,28785,Ireland,Fiction,Books,3,113.91 USD,341.73 USD,2025-03-21
ORD-100026,Daniel Lewis,jessica13@hopkins-ruiz.org,576.874.2990x939,9281 Lisa Hills,Lisafort,Indiana,48060,Norway,Biography,Books,3,218.08 USD,654.24 USD,2025-02-08
ORD-100027,Christina Young,hannah46@taylor-cunningham.com,668-414-3551x65116,3290 Ashley Dale Suite 282,Jeffreyside,Georgia,36480,Vietnam,Shampoo,Beauty,2,224.17 USD,448.34 USD,2025-03-24
ORD-100028,Steven Herrera,russelljacqueline@yahoo.com,026.886.2150x9005,724 Andrew Parks,South Gina,Indiana,86317,Mongolia,Face Cream,Beauty,1,150.63 USD,150.63 USD,2025-04-15
ORD-100029,Gina Lopez,vsingh@hotmail.com,001-309-709-4260x00636,64683 John Junction Suite 965,South Tylerchester,New Jersey,40910,Paraguay,Non-fiction,Books,4,10.82 USD,43.28 USD,2025-01-28
ORD-100030,Joseph Allen,herbert44@yahoo.com,001-388-320-6676x0044,5196 Jorge Flat Apt. 257,Nicholasberg,Missouri,81363,Uzbekistan,Air Purifier,Home,5,328.66 USD,"1,643.30 USD",2025-01-28
ORD-100031,Nancy Taylor,kevin72@stevens.com,(255)538-5982x960,902 Stephanie Loop Suite 111,East Jenniferbury,Hawaii,60036,Western Sahara,Smartwatch,Electronics,1,100.59 USD,100.59 USD,2025-03-19
ORD-100032,Lauren Cobb,chandlergabriel@mccormick.com,770192638,99622 Debra Ferry,Port Karenchester,Connecticut,16733,Madagascar,Smartphone,Electronics,5,198.83 USD,994.15 USD,2025-03-09
ORD-100033,Anna Ashley,wendy07@yahoo.com,+1-732-967-6916x25391,980 Christopher Valleys,Port Williamborough,Kansas,65679,Mauritania,Non-fiction,Books,1,464.62 USD,464.62 USD,2025-05-09
ORD-100034,Kevin Moreno,jennifer27@gmail.com,+1-097-572-7992x322,1689 Beltran Bypass Apt. 720,West Tina,Louisiana,74947,Guernsey,Non-fiction,Books,1,100.76 USD,100.76 USD,2025-02-18
ORD-100035,Mark Le,browndavid@ferguson.com,936.458.0127x35473,008 Lewis Summit Apt. 244,Port Rachel,Vermont,4055,Brazil,Face Cream,Beauty,1,367.29 USD,367.29 USD,2025-05-04
ORD-100036,Carlos Brown,hulltravis@yahoo.com,030.677.6098x31846,4595 Brandon Forge,East Debra,Iowa,50553,Cocos (Keeling) Islands,Sneakers,Clothing,2,179.67 USD,359.34 USD,2025-01-09
ORD-100037,Cory Arnold,watkinssteven@edwards.com,6241143887,7057 Jacob Spurs,Emilyfurt,South Dakota,15730,Bouvet Island (Bouvetoya),Non-fiction,Books,1,74.65 USD,74.65 USD,2025-04-07
ORD-100038,Stephen Cordova,ybutler@parker.net,+1-931-185-3422,413 Stacey Squares Suite 036,New Amber,West Virginia,81432,Germany,Vacuum Cleaner,Home,2,343.93 USD,687.86 USD,2025-04-28
ORD-100039,Joshua Moss,amandakim@hotmail.com,501.086.0522x8593,87712 Kathryn Green,New Michael,Connecticut,95452,Bangladesh,Air Purifier,Home,4,140.69 USD,562.76 USD,2025-04-07
ORD-100040,Jennifer Cabrera,vanessa76@gmail.com,211-250-4232x27393,386 Young Villages,Howellfort,North Dakota,18768,Micronesia,Microwave,Home,1,394.70 USD,394.70 USD,2025-04-06
ORD-100041,Bonnie Bennett,rachel96@hotmail.com,070-556-3931x71446,2377 Richard Square Apt. 503,West Matthew,Indiana,4468,Spain,Microwave,Home,1,141.15 USD,141.15 USD,2025-03-22
ORD-100042,Jason Mullen,sjones@yahoo.com,001-564-842-6564x4524,711 Potter Mount Suite 432,Staceyshire,Arkansas,53089,United States of America,Microwave,Home,3,309.75 USD,929.25 USD,2025-03-04
ORD-100043,Sharon Bowers,harrisamy@yahoo.com,(671)904-8494,55192 Medina Plaza,South Jennifershire,North Dakota,87803,Liberia,Jeans,Clothing,1,380.57 USD,380.57 USD,2025-03-09
ORD-100044,Thomas Riley,dlang@scott.com,413-640-2836,230 Barnes Freeway,North Brianfurt,Texas,39020,Botswana,Sneakers,Clothing,5,66.14 USD,330.70 USD,2025-03-23
ORD-100045,Katherine Grant,laurie33@gmail.com,(034)887-7545x687,197 Andrew Summit Suite 627,New Erinport,Vermont,83859,Guernsey,T-shirt,Clothing,2,440.32 USD,880.64 USD,2025-02-05
ORD-100046,Brent Ward,lgarcia@gmail.com,001-550-471-6047x99674,3931 Ryan Ridge Suite 443,East Michael,Oklahoma,17568,Bermuda,Perfume,Beauty,3,418.62 USD,"1,255.86 USD",2025-02-20
ORD-100047,Troy Perez,mmunoz@bennett.net,001-257-581-6902,5953 Thornton Harbors,Matthewton,Iowa,97786,Bulgaria,Laptop,Electronics,3,386.31 USD,"1,158.93 USD",2025-04-05
ORD-100048,Jacob Ward,darryl52@swanson.com,+1-376-127-8564x2900,761 Henderson Ridges,Port Jennifer,Arizona,85163,Ukraine,T-shirt,Clothing,2,404.46 USD,808.92 USD,2025-04-08
ORD-100049,Amanda Davidson,aholt@williams.biz,+1-873-262-6486x0889,5357 Boone Turnpike Suite 223,East Ronald,Oregon,35107,Kiribati,Smartphone,Electronics,5,244.74 USD,"1,223.70 USD",2025-01-03
ORD-100050,Brian Lee,robert33@garrett.com,5606427527,407 David Point,Craigchester,Minnesota,50919,Pitcairn Islands,Perfume,Beauty,5,62.87 USD,314.35 USD,2025-04-18
ORD-100051,Cynthia Harris,josephpalmer@hotmail.com,5694452193,1818 Christopher Track Suite 087,Keithport,Texas,6444,American Samoa,Blender,Home,3,144.91 USD,434.73 USD,2025-04-30
ORD-100052,Douglas Obrien,tanyaporter@chandler-williams.com,621-504-8926,535 Reese Summit Suite 926,Longbury,Montana,25518,Trinidad and Tobago,Comics,Books,1,96.66 USD,96.66 USD,2025-02-28
ORD-100053,Kevin Hill,eric77@smith.com,397.020.6080,85703 Michael Mountain,South Tiffany,Oklahoma,34390,Malaysia,Jacket,Clothing,2,481.47 USD,962.94 USD,2025-02-24
ORD-100054,Jennifer Lozano,karen17@gmail.com,(415)907-2473x215,663 Cook Park Suite 332,North Danielton,Pennsylvania,52615,Nepal,Comics,Books,2,326.21 USD,652.42 USD,2025-02-18
ORD-100055,Nicholas Santos,alexgilbert@gmail.com,001-919-133-6461,0760 Guzman Squares,East John,Mississippi,73172,Tokelau,Blender,Home,1,448.05 USD,448.05 USD,2025-03-13
ORD-100056,Eric Long,lambertdavid@yahoo.com,(183)243-6019x5993,36712 Sarah Keys,East Dustin,New Mexico,53442,Bosnia and Herzegovina,Biography,Books,3,198.64 USD,595.92 USD,2025-03-22
ORD-100057,Ashlee Patel,dmann@yahoo.com,+1-417-007-8783x48664,229 Stephens Inlet Apt. 986,Grahamton,Nevada,97766,Indonesia,Biography,Books,4,358.96 USD,"1,435.84 USD",2025-02-08
ORD-100058,Susan Ramirez,rachel15@gibson-robertson.com,521-104-2383x1005,792 Miller Forks Apt. 582,North Erica,Iowa,40004,British Indian Ocean Territory (Chagos Archipelago),Microwave,Home,2,470.81 USD,941.62 USD,2025-02-02
ORD-100059,Austin Thompson,rbriggs@gmail.com,6761922301,4361 Vargas Summit,Port Julia,Missouri,69848,United States of America,Biography,Books,4,304.81 USD,"1,219.24 USD",2025-03-20
ORD-100060,Dr. John Burke,davidturner@johnson-harris.org,001-004-839-5645x658,2276 William Lights,New Amanda,Kentucky,49807,Turkmenistan,Lipstick,Beauty,3,169.50 USD,508.50 USD,2025-01-13
ORD-100061,Joel Foster,christophervillanueva@parker.net,070-206-4770,8244 Rasmussen Rapids,North Samanthamouth,Vermont,96136,Pakistan,Shampoo,Beauty,1,176.04 USD,176.04 USD,2025-02-09
ORD-100062,Ariel Underwood,ehunt@hotmail.com,406-344-6218x304,1233 Fuller Cliff,West Elizabeth,New Mexico,57686,Jamaica,Laptop,Electronics,2,157.30 USD,314.60 USD,2025-02-02
ORD-100063,Amanda Daniels,akelley@ross-hardy.net,497-585-7446x6469,2065 Cassandra Tunnel Suite 504,New Thomaston,Illinois,79334,Hong Kong,Smartwatch,Electronics,2,191.41 USD,382.82 USD,2025-04-26
ORD-100064,Jose Patterson,johnsoncarrie@perez-moore.biz,161-618-5788x0369,3746 Matthew Fort Suite 882,Carterberg,Ohio,27199,Hong Kong,Laptop,Electronics,4,499.95 USD,"1,999.80 USD",2025-03-19
ORD-100065,Emma Anderson,antonio64@nelson-brown.com,001-976-724-6156x305,9343 Taylor Neck Suite 194,North Briannaside,Vermont,85454,Andorra,Fiction,Books,2,221.17 USD,442.34 USD,2025-02-12
ORD-100066,Jesus Sampson,jobrien@johnson.com,+1-087-547-3802,732 Ann Trafficway Apt. 149,Phillipsfort,Oklahoma,19185,Kenya,T-shirt,Clothing,1,265.99 USD,265.99 USD,2025-01-25
ORD-100067,Lisa Harris,hopkinswilliam@gmail.com,(392)364-1688x3100,932 Sharon Mountains,Port Laura,Indiana,56388,Saint Barthelemy,Non-fiction,Books,4,378.37 USD,"1,513.48 USD",2025-01-02
ORD-100068,Amanda Rogers,brownchelsea@gmail.com,+1-660-292-6785,190 Howard Mountain Apt. 435,West Lisa,South Carolina,98931,Zambia,Jeans,Clothing,2,220.18 USD,440.36 USD,2025-04-07
ORD-100069,Sally Burton,brendalevy@hotmail.com,(700)386-0208,439 Evan Trail Suite 230,South Natasha,Pennsylvania,14429,Finland,Shampoo,Beauty,2,416.17 USD,832.34 USD,2025-03-15
ORD-100070,Terry Smith,jamescooper@crawford-dodson.com,(800)773-6945x74195,2275 Leonard Gardens,West Joshua,Kansas,38648,Antigua and Barbuda,Jeans,Clothing,3,345.61 USD,"1,036.83 USD",2025-04-18
ORD-100071,Kristy Harris,ireynolds@yahoo.com,125-069-7361,62882 Larry Ford,South Jerrychester,Ohio,52215,Gibraltar,Non-fiction,Books,3,241.11 USD,723.33 USD,2025-03-14
ORD-100072,Manuel Shannon,william01@hotmail.com,696-867-0933,681 Russell Row,Tiffanyfort,Illinois,43784,Sao Tome and Principe,Biography,Books,1,122.23 USD,122.23 USD,2025-04-23
ORD-100073,Teresa Nguyen,michael67@aguilar.com,784-463-7723,5108 Bell Rest,Lake Greg,New Mexico,58496,Solomon Islands,Laptop,Electronics,1,111.04 USD,111.04 USD,2025-02-26
ORD-100074,Brian Villanueva,audrey72@yahoo.com,182.639.3903,3569 Johnson Skyway,Sarahchester,Michigan,73561,Vietnam,T-shirt,Clothing,3,66.91 USD,200.73 USD,2025-03-05
ORD-100075,Lisa Madden,johnsmith@sanders.net,3439168584,1356 Daniel Pine Apt. 260,East Andrewburgh,New Jersey,78471,Philippines,Comics,Books,1,477.53 USD,477.53 USD,2025-04-06
ORD-100076,Nicholas Williams,williamsdaniel@yahoo.com,101.718.6892,2545 Conrad Centers Apt. 396,East Daniel,Minnesota,75778,United States Virgin Islands,Face Cream,Beauty,1,117.48 USD,117.48 USD,2025-01-30
ORD-100077,Eric Hansen,kimberly35@reeves.com,852.394.4361,600 Garcia Mountain Apt. 520,Dianahaven,Vermont,18813,Kiribati,T-shirt,Clothing,1,342.61 USD,342.61 USD,2025-01-08
ORD-100078,Alyssa Day,mgarcia@estrada.com,001-481-580-8370,50166 Katherine Mountains,Bakerchester,Nevada,44261,Dominican Republic,Smartphone,Electronics,3,138.15 USD,414.45 USD,2025-01-17
ORD-100079,Dorothy Bailey,savagejohnathan@beard.org,899.652.2205,745 James Stravenue Apt. 262,Josephmouth,Tennessee,4976,South Georgia and the South Sandwich Islands,Non-fiction,Books,2,32.32 USD,64.64 USD,2025-02-04
ORD-100080,Brian Donaldson,roachcurtis@gonzales.com,701-287-7495,345 Heather Turnpike Apt. 692,Dianashire,Colorado,39689,Lithuania,Face Cream,Beauty,3,395.67 USD,"1,187.01 USD",2025-03-30
ORD-100081,Holly Hill,portermichael@gmail.com,(493)384-4764x6445,875 Tiffany Course,South Amandaport,Nevada,37380,South Africa,Face Cream,Beauty,4,342.55 USD,"1,370.20 USD",2025-04-17
ORD-100082,Sheena Miller,wlozano@obrien.com,(559)565-3220x94686,044 John Lakes,West Laurabury,Massachusetts,51366,Saint Barthelemy,Lipstick,Beauty,2,348.75 USD,697.50 USD,2025-03-01
ORD-100083,William Pitts,gmitchell@rogers.org,+1-629-411-3952x1715,2629 Aaron Trace,East Valerie,New Jersey,71753,Nepal,Blender,Home,3,197.46 USD,592.38 USD,2025-03-14
ORD-100084,Shelby Johnston,icunningham@gmail.com,545.879.2681,4869 Brad Lane Apt. 561,North Jennifershire,Delaware,99490,Saint Barthelemy,Jacket,Clothing,1,239.38 USD,239.38 USD,2025-02-13
ORD-100085,Allison Dunn,thomaspaul@gmail.com,001-487-425-4784x895,32136 Stephanie Island,West Maryfort,Virginia,53388,Portugal,Smartwatch,Electronics,4,447.52 USD,"1,790.08 USD",2025-05-11
ORD-100086,Kathy Sosa,rachel76@yahoo.com,882-123-9442x779,7008 Johnson Glens Apt. 565,West Jeffrey,Oregon,53033,Holy See (Vatican City State),Jacket,Clothing,2,259.85 USD,519.70 USD,2025-01-20
ORD-100087,Denise Hernandez,kylesutton@nguyen.net,(810)494-5655,5108 Jacob Forge Apt. 521,Seanmouth,Montana,49512,Netherlands,Jeans,Clothing,5,359.70 USD,"1,798.50 USD",2025-01-02
ORD-100088,Aaron Thomas,courtney16@cross.com,1372023266,2719 Desiree Overpass,Martinezmouth,Kentucky,4373,Gambia,Sneakers,Clothing,4,69.36 USD,277.44 USD,2025-03-27
ORD-100089,Evan Carroll,qlopez@yahoo.com,+1-308-681-6486,666 Bishop Avenue Apt. 123,Hansonstad,Oregon,8131,Sri Lanka,Face Cream,Beauty,5,289.84 USD,"1,449.20 USD",2025-01-19
ORD-100090,Zachary Miller,tclark@bartlett.com,001-416-248-3075x34001,1511 Roberts Court Suite 155,East Markton,Michigan,29082,Marshall Islands,T-shirt,Clothing,4,383.94 USD,"1,535.76 USD",2025-01-04
ORD-100091,Johnny Maxwell,thomas28@rodriguez.org,+1-433-322-6959,91052 Maria Stravenue Suite 916,South Michael,Wyoming,98140,Seychelles,Perfume,Beauty,1,356.01 USD,356.01 USD,2025-02-14
ORD-100092,Susan Horton,samantha96@gmail.com,833-938-9055x720,8197 Wright Parkway Suite 604,Paulastad,Ohio,32039,Mali,Smartphone,Electronics,1,326.90 USD,326.90 USD,2025-05-10
ORD-100093,Joshua Becker,gdavis@hotmail.com,(762)354-1798x4524,49521 Barbara Vista Suite 628,Montgomeryfurt,Colorado,66936,Taiwan,Air Purifier,Home,5,260.61 USD,"1,303.05 USD",2025-02-14
ORD-100094,Jonathan Berg,monicasmith@mcclain.org,721-573-5534x49599,3311 Lynch Key Suite 598,East Amyshire,Indiana,57674,Togo,Vacuum Cleaner,Home,4,177.02 USD,708.08 USD,2025-01-31
ORD-100095,Brian Berg,erica61@gmail.com,(493)742-8638x978,809 Kelly Lane Suite 151,South Monique,West Virginia,94970,Tuvalu,Laptop,Electronics,4,156.20 USD,624.80 USD,2025-04-22
ORD-100096,Ronald Higgins,brianspears@fisher-kirby.info,(796)359-7573x286,26513 Gardner Highway Suite 965,West Joshua,Georgia,95911,Slovenia,Lipstick,Beauty,5,138.10 USD,690.50 USD,2025-04-03
ORD-100097,Stephanie Hunter,rebecca51@yahoo.com,+1-081-216-1096x5623,43291 Wilson Trace Suite 861,Lorishire,Connecticut,93324,British Virgin Islands,Microwave,Home,5,376.15 USD,"1,880.75 USD",2025-05-10
ORD-100098,Dustin Bright,steven36@sutton-figueroa.net,+1-520-850-2609x87723,3076 Myers Run Suite 543,Benitezton,Indiana,56661,Somalia,Headphones,Electronics,3,476.32 USD,"1,428.96 USD",2025-03-11
ORD-100099,Veronica Parks,rushkayla@woods.biz,398-897-1287x115,24582 Reynolds Court Apt. 396,East Heidi,Arkansas,31724,Bermuda,Smartwatch,Electronics,3,496.76 USD,"1,490.28 USD",2025-04-09
ORD-100100,Mr. David Flores,efrederick@beltran.com,4775933325,4255 Sarah Passage,Robinsonville,Maine,5169,French Guiana,T-shirt,Clothing,2,169.07 USD,338.14 USD,2025-05-12
ORD-100101,Anna Nguyen,stepheneaton@reid.com,+1-816-439-4406x51406,829 Gregory Field,Shelbyville,New York,5109,Ukraine,Laptop,Electronics,4,344.20 USD,"1,376.80 USD",2025-01-14
ORD-100102,Dylan Steele,davidfowler@gmail.com,726.215.7837,79385 Jeffrey Drive Suite 978,Bakertown,Wyoming,98290,Seychelles,Vacuum Cleaner,Home,1,151.55 USD,151.55 USD,2025-03-28
ORD-100103,Mary Robertson,arnoldtimothy@gmail.com,+1-341-879-6603,19533 Potter Pine,South Michaelstad,North Dakota,12097,Israel,Smartphone,Electronics,2,96.65 USD,193.30 USD,2025-03-01
ORD-100104,Christine Russell,yfinley@hotmail.com,+1-545-483-4345x048,0083 Ronald Neck Suite 494,Juliebury,Arizona,92838,Kiribati,Laptop,Electronics,4,166.80 USD,667.20 USD,2025-01-30
ORD-100105,Christopher Oliver,vincentcarr@hotmail.com,(948)832-7215x946,18106 Caldwell Forges,Stoneburgh,South Dakota,91795,Burundi,Fiction,Books,4,437.97 USD,"1,751.88 USD",2025-03-17
ORD-100106,Amber Dickerson,ronald86@fitzgerald.com,001-148-298-2020x334,95013 Jimenez Burg,Walshton,Louisiana,98005,British Virgin Islands,Microwave,Home,4,232.71 USD,930.84 USD,2025-04-14
ORD-100107,Anne Reynolds,brandonmiller@hudson-taylor.com,+1-132-351-6148x178,77809 Joyce Trail,Sydneyburgh,Oregon,41043,Ukraine,Face Cream,Beauty,1,114.56 USD,114.56 USD,2025-04-16
ORD-100108,Angel Mitchell,joelanthony@gmail.com,229-849-9992,906 Shepard Lights,Natashastad,Tennessee,12566,Anguilla,Smartphone,Electronics,1,374.21 USD,374.21 USD,2025-05-01
ORD-100109,Robert Clark,clarktrevor@thompson-love.com,844.910.2057x110,1162 Meyer Village,North Ashleyville,Mississippi,13677,Kiribati,Laptop,Electronics,3,238.81 USD,716.43 USD,2025-02-03
ORD-100110,David Lucas,james69@hotmail.com,001-791-447-6803x64975,3871 Wright Lakes Apt. 646,New Brian,Connecticut,6408,Spain,Shampoo,Beauty,2,227.30 USD,454.60 USD,2025-04-22
ORD-100111,Joanna Morse,timothy96@potts.biz,(143)378-6058,4790 Connie Throughway Suite 867,Antoniomouth,South Carolina,8215,Korea,Smartwatch,Electronics,3,316.77 USD,950.31 USD,2025-04-01
ORD-100112,Hunter Jackson,adamspaul@gmail.com,+1-751-276-8501,72889 Vaughn Lake,Port Williamland,Nevada,90864,Sudan,Non-fiction,Books,2,410.11 USD,820.22 USD,2025-01-14
ORD-100113,John Burton,millermathew@yahoo.com,001-867-550-3033x984,16339 Cannon Lights,Singletontown,Oklahoma,35677,Panama,Smartphone,Electronics,2,224.74 USD,449.48 USD,2025-05-02
ORD-100114,Rachel Brown,rowegrace@cummings-smith.com,(653)185-5845x9971,31095 Smith Gardens Suite 689,North Erin,Louisiana,93152,Saint Helena,Face Cream,Beauty,4,253.90 USD,"1,015.60 USD",2025-02-28
ORD-100115,Ronnie Kane,jeffreysmith@cameron.com,+1-347-924-6111x5211,749 Brenda Spurs,East Emily,Maryland,61397,Macao,Non-fiction,Books,5,291.85 USD,"1,459.25 USD",2025-01-01
ORD-100116,David Ochoa,brent74@hotmail.com,(521)049-5978,302 Frederick Shoal Suite 887,Brianberg,Texas,78294,Albania,Vacuum Cleaner,Home,2,460.44 USD,920.88 USD,2025-02-02
ORD-100117,Sara Cook,alexa54@king-williamson.com,218-893-8105,143 Greer Streets Apt. 506,Laurastad,Maryland,31073,Bahamas,Air Purifier,Home,2,499.94 USD,999.88 USD,2025-03-13
ORD-100118,Jay Ryan,michaeljohnson@atkinson.com,001-184-335-0952x634,66006 Wells Roads Apt. 474,East Jameston,Montana,71356,Vanuatu,Sneakers,Clothing,3,493.03 USD,"1,479.09 USD",2025-03-21
ORD-100119,Cynthia Collins,beanlinda@miller-williams.com,001-508-570-6447x4988,3475 Rachel Throughway Apt. 583,New Corymouth,Georgia,80179,Christmas Island,Microwave,Home,5,225.03 USD,"1,125.15 USD",2025-04-24
ORD-100120,Donald Reed,hayesdonna@gmail.com,476.701.0688,091 Scott Point Apt. 070,Lake Michael,Michigan,12921,Antarctica (the territory South of 60 deg S),Fiction,Books,2,39.97 USD,79.94 USD,2025-01-14
ORD-100121,Justin Cole,matthew76@munoz-hughes.info,434-643-0958,021 Jodi Point Suite 137,West Michaelville,Michigan,32411,New Caledonia,T-shirt,Clothing,5,147.83 USD,739.15 USD,2025-05-10
ORD-100122,Scott Love,josevelez@yahoo.com,310.598.5313x1077,17806 Russell Curve,Lake Meganmouth,Louisiana,67969,Switzerland,Comics,Books,4,394.59 USD,"1,578.36 USD",2025-04-11
ORD-100123,Amy Rubio,miguelcabrera@gmail.com,737-555-0105,58305 Denise Knolls,East Charles,New Mexico,42375,Philippines,Smartwatch,Electronics,4,131.13 USD,524.52 USD,2025-03-14
ORD-100124,Frank Rodriguez,davismary@johnson-martin.com,903.273.2714x76168,194 Angela Spurs Apt. 206,Hendersonchester,New Mexico,35495,Kazakhstan,Lipstick,Beauty,1,59.06 USD,59.06 USD,2025-04-07
ORD-100125,Adam Johnson,stanleyhoover@pope.info,322.363.6315x0302,696 Rachel Landing,Thomasmouth,Nebraska,40460,Northern Mariana Islands,Headphones,Electronics,3,405.02 USD,"1,215.06 USD",2025-01-02
ORD-100126,Kendra Ali,karen81@gmail.com,001-610-735-9224x8453,121 Terrance Dam,Lake Christopher,Oregon,70649,Mauritius,Headphones,Electronics,2,455.76 USD,911.52 USD,2025-01-25
ORD-100127,Laura Nelson,mccarthyshannon@rivera-jones.com,+1-341-025-8793x897,88749 Bruce Walk Apt. 306,South Brooketon,Alabama,99316,Cayman Islands,Headphones,Electronics,1,457.29 USD,457.29 USD,2025-01-26
ORD-100128,Mary Castillo,alvaradowilliam@hotmail.com,6920424709,148 Perez Mountains,North James,Hawaii,12602,Honduras,Face Cream,Beauty,1,485.59 USD,485.59 USD,2025-01-29
ORD-100129,Melanie Holder,sarah77@barron-garcia.com,936.259.1947,768 Susan Summit Apt. 797,Paulaton,Maine,98266,Korea,Sneakers,Clothing,4,173.01 USD,692.04 USD,2025-01-13
ORD-100130,Christopher Howard,madison88@sullivan.com,240-052-0511,5176 Stacey Roads Suite 818,East Rickyhaven,Texas,30597,Holy See (Vatican City State),Biography,Books,4,452.47 USD,"1,809.88 USD",2025-04-09
